axis_lat,axis_lon,angle_deg,rotated_pole_lat,rotated_pole_lon,r2,rmse,mae,scale_m_per_sigma,intercept_m,spearman,abs_spearman,kendall_tau,abs_kendall_tau,score,source_file,lambda_q,spearman_pred_obs,rotation_only_spearman,intercept,rotation_coeff,quadrupole_coeff_norm,axis_point_M,distance_to_basin_deg,basin_lat,basin_lon,path_m_mean,path_m_median,path_m_min,path_m_max,path_m_std,path_frac_below_threshold,path_integrated_penalty,path_threshold,path_n
40.0,-175.0,21.0,73.95053951043535,101.7938343832022,0.0432997606465658,32.848729144602885,18.400769520475137,6.988329579024165,20.169867758186392,0.4365883064098838,0.4365883064098838,0.2929509783400154,0.2929509783400154,0.0189041691686375,07_top250_rotation_candidates.csv,,,,,,,0.153995,149.1671186943297,-49.0,46.9888626637867,0.15002188341821476,0.1453459176075055,0.1304809022166478,0.17998477551596168,0.01565572797521964,0.09392265193370165,0.017977327324781855,0.1314706,181
-20.0,-165.0,17.0,74.03213279284093,102.07385841091038,0.0432750790986328,32.849152867844786,18.39944396076415,6.986337565957734,20.169867758186392,0.4366350859633131,0.4366350859633131,0.29299073492634,0.29299073492634,0.0188954178823007,07_top250_rotation_candidates.csv,,,,,,,0.141785,105.35233786580878,-49.0,46.9888626637867,0.1395382512544475,0.13802127887951518,0.12741898941543386,0.1822127094150806,0.010952196862711185,0.287292817679558,0.17967822385390758,0.1314706,181
-45.0,-160.0,23.0,73.79152889699567,101.81345490962605,0.0432657560485173,32.84931292093092,18.399010815189527,6.985584967868348,20.169867758186392,0.4365912500432169,0.4365912500432169,0.2927251609296918,0.2927251609296918,0.018889450517287,07_top250_rotation_candidates.csv,,,,,,,0.146173,83.0918512977267,-49.0,46.9888626637867,0.137136221338832,0.1326831387675048,0.12004962743709596,0.18251177024507947,0.012100870687301533,0.39779005524861877,0.5479981079151917,0.1314706,181
35.0,-175.0,19.0,74.45973581896105,100.48266944255772,0.0435653448783002,32.844169351639,18.418302633586503,7.009728690998302,20.169867758186392,0.4333775461711256,0.4333775461711256,0.2906705405484381,0.2906705405484381,0.0188802422614565,07_top250_rotation_candidates.csv,,,,,,,0.161503,146.3386838254635,-49.0,46.9888626637867,0.14956464103822656,0.14591533646248359,0.1298303132508917,0.18016130827003812,0.015340098553728592,0.10497237569060773,0.02671078792139958,0.1314706,181
55.0,-180.0,27.0,74.61010932237753,101.1258627521777,0.0435128885075973,32.845070020749596,18.413553827391933,7.005507265901828,20.169867758186392,0.433890651221434,0.433890651221434,0.2914489745086732,0.2914489745086732,0.018879835531087,07_top250_rotation_candidates.csv,,,,,,,0.146877,151.03448795423074,-49.0,46.9888626637867,0.14960642672376995,0.14284535697090078,0.12965323932713432,0.18083487643451385,0.017145580444005618,0.06077348066298342,0.02101036885982449,0.1314706,181
15.0,-170.0,17.0,73.5833289031183,102.21514028407528,0.0431640582376008,32.85105876334404,18.393878364550165,6.9773701957015275,20.169867758186392,0.4373077873700479,0.4373077873700479,0.2929736395942204,0.2929736395942204,0.0188759788017971,07_top250_rotation_candidates.csv,,,,,,,0.156377,134.547967095359,-49.0,46.9888626637867,0.14746555391650748,0.15137052782399846,0.12977574675485204,0.18162915548384637,0.012676479072027472,0.03314917127071823,0.012601894097063027,0.1314706,181
55.0,-180.0,29.0,73.48616896196884,101.96110364306412,0.0431827191000868,32.85073841998511,18.394830096610487,6.9788782753578245,20.169867758186392,0.4368008773034998,0.4368008773034998,0.2927589540280677,0.2927589540280677,0.0188622495872685,07_top250_rotation_candidates.csv,,,,,,,0.146877,151.03448795423074,-49.0,46.9888626637867,0.14960642672376995,0.14284535697090078,0.12965323932713432,0.18083487643451385,0.017145580444005618,0.06077348066298342,0.02101036885982449,0.1314706,181
10.0,-170.0,15.0,75.22916424841615,101.30962308810612,0.0435973138778387,32.8436204359324,18.418276362517215,7.012300149091635,20.169867758186392,0.4325326599132864,0.4325326599132864,0.2899306704769379,0.2899306704769379,0.018857262136656,07_top250_rotation_candidates.csv,,,,,,,0.157669,130.32492851733664,-49.0,46.9888626637867,0.14616286412230983,0.14763272565527252,0.12887418823713903,0.18190343662226646,0.012882276902989051,0.13812154696132597,0.08041960967214151,0.1314706,181
-25.0,-165.0,17.0,74.60293306985984,101.38595787823196,0.043478062199488,32.84566797032078,18.41096199135056,7.002703214044614,20.169867758186392,0.4335367795599757,0.4335367795599757,0.2910470354209318,0.2910470354209318,0.0188493390674743,07_top250_rotation_candidates.csv,,,,,,,0.143012,100.68149786929793,-49.0,46.9888626637867,0.13848203824795527,0.13806401146136607,0.12542693050759762,0.1821394160036942,0.010666683414734049,0.30386740331491713,0.24204979660383552,0.1314706,181
-60.0,-155.0,31.0,74.64243639043515,101.49505184583494,0.0434708314717317,32.84579211678562,18.410333504026006,7.00212088880583,20.169867758186392,0.4335325960683576,0.4335325960683576,0.2909023214467103,0.2909023214467103,0.0188460224211899,07_top250_rotation_candidates.csv,,,,,,,0.137102,69.54753739422848,-49.0,46.9888626637867,0.13814267821574014,0.13315735803638631,0.1197604017507951,0.1832762867170304,0.013329387295107648,0.3867403314917127,0.619734467026227,0.1314706,181
-50.0,-160.0,23.0,75.27445506658403,101.14151836017632,0.0436254726977112,32.84313693436309,18.420434211039137,7.014564350779221,20.169867758186392,0.4319859507703695,0.4319859507703695,0.2893649342535392,0.2893649342535392,0.0188455913011275,07_top250_rotation_candidates.csv,,,,,,,0.138998,78.3249697195968,-49.0,46.9888626637867,0.13737770496016613,0.13338762046675515,0.1190618008791158,0.18267700258653102,0.012387627675600428,0.3370165745856354,0.591550649071892,0.1314706,181
15.0,-170.0,15.0,75.51390202781637,101.95155129530433,0.0435640593582515,32.84419142414744,18.415444844720227,7.009625269192839,20.169867758186392,0.4324898696319825,0.4324898696319825,0.2895009017787693,0.2895009017787693,0.0188410143524901,07_top250_rotation_candidates.csv,,,,,,,0.156377,134.547967095359,-49.0,46.9888626637867,0.14746555391650748,0.15137052782399846,0.12977574675485204,0.18162915548384637,0.012676479072027472,0.03314917127071823,0.012601894097063027,0.1314706,181
